DataHoraGMT-3,Valor Total,Início Próspero,Mentoria Individual,Mentoria individual online,Mentoria individual presencial
10/10/2025 - 13:40,3166165.66,1963.08,6132.06,9974.49,0.0
10/10/2025 - 13:43,3166165.66,1963.08,6132.06,9974.49,0.0
10/10/2025 - 13:45,2576295.1,1963.08,0.0,0.0,0.0
10/10/2025 - 13:46,3166165.66,1963.08,0.0,0.0,0.0
10/10/2025 - 13:46,3166165.66,1963.08,6132.06,9974.49,0.0
10/10/2025 - 13:51,3166073.52,1963.08,6132.06,9974.49,0.0
10/10/2025 - 14:12,3166165.66,1963.08,6132.06,9974.49,0.0
10/10/2025 - 14:22,3166165.66,1963.08,6132.06,9974.49,0.0
10/10/2025 - 14:41,3165764.89,1963.08,6132.06,9974.49,0.0
10/10/2025 - 15:33,3166749.19,1963.08,6132.06,9974.49,0.0
10/10/2025 - 16:19,3166949.57,1963.08,6132.06,9974.49,0.0
10/10/2025 - 16:39,3167382.44,1963.08,6132.06,9974.49,0.0
10/10/2025 - 17:25,3167944.73,1963.08,6132.06,9974.49,0.0
